Rk,School,G,W▼,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
73,Mississippi State,28,19,9,0.679,17.5,11.72,,7,8,,9,4,,6,4,,2213,2051,,69.5,112.7,0.314,0.42,0.544,52.3,54.1,13.4,14.5,0.516,13,34.9,0.218
74,Northern Iowa,29,19,10,0.655,5.77,0.09,,13,5,,13,3,,5,4,,2162,1961,,65.9,112.7,0.365,0.357,0.585,51.2,51.8,9.1,9.3,0.558,14.1,26.2,0.256
75,Purdue,28,19,9,0.679,21,13.65,,11,6,,12,2,,5,5,,2170,1964,,66.8,115.9,0.36,0.377,0.593,51.3,59.3,10.2,5.5,0.564,14.1,30.4,0.262
76,Purdue Fort Wayne,29,19,10,0.655,0.04,-4.15,,12,6,,12,1,,6,8,,2385,2169,,70.3,115.4,0.284,0.457,0.589,45.3,47.9,12.4,8.1,0.561,11.7,22.9,0.215
77,San Diego State,26,19,7,0.731,14.72,8.28,,12,5,,11,3,,5,3,,1855,1643,,66.5,106.3,0.303,0.392,0.535,50.9,50.1,11.5,19,0.508,14.4,31.3,0.206
78,Santa Clara,30,19,11,0.633,13.66,5.62,,11,6,,11,4,,5,5,,2428,2187,,69.8,114.6,0.29,0.464,0.581,53.4,58.3,9.2,8.6,0.555,14.9,33,0.211
79,South Alabama,29,19,10,0.655,1.55,-3.75,,11,5,,12,4,,7,6,,2110,1868,,64.3,110.4,0.322,0.469,0.549,49,58.2,14.1,11.5,0.521,12.3,28.1,0.224
80,South Dakota State,29,19,10,0.655,4.7,-0.65,,10,4,,13,1,,3,7,,2338,2120,,69.6,115.9,0.292,0.412,0.584,56.6,48.9,6.9,8.4,0.553,15,34.2,0.223
81,Southeast Missouri State,29,19,10,0.655,-4.03,-7.53,,14,4,,12,3,,7,6,,2175,1943,,69.8,106.6,0.277,0.361,0.55,49.9,49.9,11.6,9.9,0.522,13.3,25.7,0.201
82,SIU Edwardsville,29,19,10,0.655,-6.37,-8.79,,12,6,,11,2,,7,8,,2115,1917,,68.1,106.2,0.312,0.372,0.524,51.4,52.8,10,11.3,0.497,13.6,31.5,0.209
83,St. Bonaventure,28,19,9,0.679,4.92,0.03,,7,8,,11,3,,6,5,,1954,1800,,64.9,107.1,0.314,0.352,0.546,51.7,44.6,11.7,11.9,0.514,14.3,28.8,0.228
84,Towson,29,19,10,0.655,-1.7,-3.09,,14,2,,10,1,,9,5,,1992,1898,,64,105.9,0.278,0.378,0.505,52.2,42.4,10.1,10,0.476,12.2,34.7,0.191
85,Troy,29,19,10,0.655,2.87,-2.32,,12,5,,11,4,,8,6,,2120,1901,,67.2,108.7,0.371,0.457,0.544,54.3,57.2,14.3,12.7,0.509,17.4,40.4,0.263
86,UNC Greensboro,29,19,10,0.655,0.14,-3.79,,12,4,,10,2,,8,6,,2104,1853,,65,111.6,0.27,0.434,0.553,52.1,51.5,9.6,8.7,0.524,13.3,32.1,0.2
87,Wake Forest,27,19,8,0.704,10.27,6.94,,11,5,,11,2,,6,5,,1909,1819,,67.8,104.3,0.371,0.358,0.546,48.5,47.2,10.7,12.8,0.503,15,26.8,0.279
88,Winthrop,29,19,10,0.655,-2.9,-3.75,,9,5,,15,2,,4,8,,2448,2275,,74.2,112.4,0.484,0.377,0.565,51.6,42.7,10.5,8.9,0.532,14.9,33.6,0.327
89,Youngstown State,30,19,11,0.633,-3.52,-5.27,,13,6,,9,5,,9,5,,2314,2148,,70.9,108,0.354,0.457,0.55,50.5,52.1,9.8,13.4,0.513,15,31,0.261
90,American,29,18,11,0.621,-7.75,-5.94,,12,4,,11,1,,4,10,,1990,1977,,64.4,104.7,0.313,0.447,0.552,48.5,52.5,9.7,5.6,0.515,15.2,25.1,0.239
91,Arizona,27,18,9,0.667,23.66,12.51,,12,4,,11,3,,6,3,,2202,1901,,70.4,114.8,0.354,0.348,0.569,55.6,59.3,11.5,11.9,0.528,14.4,36.7,0.274
92,Connecticut,27,18,9,0.667,16.84,8.03,,10,6,,11,2,,6,4,,2098,1860,,65.2,117,0.317,0.434,0.587,53.8,65.8,8.3,18.1,0.552,14.7,34.5,0.247
93,Dayton,27,18,9,0.667,9.14,4.56,,8,6,,14,2,,3,4,,2025,1885,,66,113.1,0.394,0.398,0.573,50.9,59.9,10.9,10.2,0.535,13.6,30,0.292
94,George Washington,28,18,10,0.643,3.71,-1.69,,7,8,,12,4,,4,5,,2068,1882,,67.6,107.8,0.393,0.418,0.547,50.6,55.5,13.5,8.9,0.51,15.6,32.7,0.276
95,Illinois,29,18,11,0.621,21.58,11.69,,10,8,,12,4,,4,5,,2414,2127,,72.4,114,0.347,0.47,0.559,55.6,50.8,6.3,9.3,0.52,13.5,35.6,0.262
96,Kentucky,27,18,9,0.667,22.46,13.24,,7,7,,14,2,,2,6,,2313,2064,,72,118.4,0.337,0.424,0.593,52.3,57.2,9,12,0.564,12.9,29.4,0.248
97,Lamar,29,18,11,0.621,-3.05,-3.44,,13,5,,9,3,,9,6,,2063,1931,,67.2,105.5,0.282,0.326,0.521,52,59.9,11.2,13.4,0.495,15.5,35.8,0.193
98,Little Rock,29,18,11,0.621,-5.32,-7.47,,12,6,,9,5,,9,5,,2021,1920,,68.2,101.3,0.277,0.306,0.534,48.3,53.2,13,16,0.507,17.3,29.3,0.196
99,Louisiana Tech,28,18,10,0.643,1.34,-0.06,,7,8,,10,3,,4,7,,2068,1920,,67,109.2,0.332,0.417,0.573,53.1,59.7,9.6,11.8,0.538,16.6,30.5,0.251
100,Loyola (IL),27,18,9,0.667,2.96,-0.34,,9,5,,14,1,,4,4,,1999,1861,,67.8,107.7,0.339,0.415,0.558,51.3,60.9,9.5,13,0.535,15.7,29.9,0.227
101,Marshall,30,18,12,0.6,-2.52,-4.38,,11,6,,13,3,,5,9,,2271,2156,,69.4,108.6,0.347,0.409,0.543,51.4,54,9.8,13.4,0.512,14.6,32.5,0.239
102,Middle Tennessee,27,18,9,0.667,2.86,1.62,,9,5,,10,3,,6,5,,2054,1929,,69.5,109,0.331,0.374,0.543,51.5,45.3,9.5,11.9,0.517,13.7,31.6,0.224
103,Nicholls State,29,18,11,0.621,-2.14,-2.03,,12,6,,11,4,,7,7,,2167,2033,,69.2,107.6,0.328,0.361,0.524,50,42,11.3,10.9,0.494,12.6,31.3,0.225
104,North Carolina,29,18,11,0.621,15.95,11.12,,11,6,,11,2,,5,6,,2361,2221,,71.3,113.2,0.354,0.363,0.573,52,50.1,8.2,9.9,0.538,13.2,29.5,0.261
105,Omaha,30,18,12,0.6,-2.86,-2.5,,12,3,,10,2,,7,9,,2319,2283,,69.1,111.9,0.369,0.389,0.568,51.5,49.3,8.4,7.5,0.533,14.1,29,0.268
106,Queens (NC),30,18,12,0.6,-5.04,-4.97,,11,6,,9,5,,8,7,,2312,2225,,70.5,108.4,0.35,0.459,0.555,51.5,60.8,9.4,14,0.527,15.6,31.2,0.241
107,Southeastern Louisiana,29,18,11,0.621,-3.1,-4.55,,12,6,,8,4,,9,6,,2127,2016,,68,107.4,0.349,0.328,0.547,52,46.4,10.2,7.7,0.506,15.1,31.3,0.262
108,Southern,27,18,9,0.667,-5.83,-6.62,,13,1,,10,0,,8,9,,2052,1856,,71.3,106.1,0.371,0.341,0.525,53.9,49.8,13.7,12.4,0.496,14.8,36.6,0.243
109,UAB,27,18,9,0.667,4.16,-2.04,,11,3,,13,3,,4,4,,2256,2050,,70.4,118.1,0.309,0.296,0.552,55,54.1,9.4,10.6,0.515,11.9,39.8,0.235
110,UC Riverside,29,18,11,0.621,-0.08,1.14,,11,6,,13,1,,5,10,,2157,2139,,67.7,108,0.263,0.427,0.528,52.2,49.7,7.9,6.6,0.496,13.9,34.2,0.196
111,UC Santa Barbara,28,18,10,0.643,1.38,-4.16,,10,7,,11,4,,7,6,,2066,1856,,66.2,111.5,0.29,0.454,0.588,51.7,57.4,8.9,8.4,0.56,16.4,28.1,0.219
112,Vanderbilt,27,18,9,0.667,15.7,9.03,,6,8,,13,2,,2,6,,2148,1968,,69.9,113.8,0.319,0.402,0.556,50.6,49.7,13.1,11.5,0.522,12.3,32.1,0.236
113,Xavier,28,18,10,0.643,14.58,7.87,,10,7,,13,2,,4,7,,2160,1972,,69.5,110.1,0.387,0.378,0.578,50.7,64.1,11.2,7.3,0.532,14.9,25.6,0.305
114,Yale,24,18,6,0.75,8.44,-3.51,,11,0,,11,0,,5,5,,2008,1679,,69.6,120.2,0.318,0.327,0.591,56,56.7,8.6,12.2,0.563,13,34.7,0.234
115,Appalachian State,29,17,12,0.586,-1.07,-3.26,,10,7,,10,4,,5,7,,1989,1834,,64.8,105.4,0.349,0.411,0.537,51.1,53.1,8.6,10.1,0.513,14.4,27.8,0.227
116,Bryant,28,17,11,0.607,-2.84,-6.73,,11,2,,8,3,,8,7,,2296,2094,,73.4,111.2,0.298,0.36,0.547,52.6,48.9,9.1,14.3,0.519,13.6,34.3,0.211
117,Cincinnati,28,17,11,0.607,15.3,8.69,,7,10,,12,4,,4,7,,2005,1820,,65.8,108.9,0.244,0.381,0.538,51.1,51,10.7,11.8,0.519,12.9,32.6,0.162
118,East Tennessee State,29,17,12,0.586,0.14,-4.3,,10,6,,12,3,,5,9,,2101,1932,,66.4,109.1,0.324,0.416,0.53,53,50.1,11.8,11.2,0.504,13.9,36.2,0.215
